directions,hidden,id,lat,lon,name,showDestinationSelector,route
"['25_0_var3', '25_0_var2']",False,BSTP34325,45.2752799,-66.07541,Place 400,True,25
"['25_0_var3', '25_0_var2']",False,BSTP34444,45.27542,-66.07289,Howard Johnsons Hotel,True,25
"['25_0_var3', '25_0_var2']",False,BSTP34436,45.27636,-66.0702599,600 Main Street North,True,25
"['25_0_var3', '25_0_var2']",False,BSTP34318,45.27375,-66.0649299,Market Square,True,25
"['25_0_var3', '25_0_var2']",False,BSTP34433,45.27267,-66.06261,Barbours General Store,True,25
"['25_0_var3', '25_0_var2']",False,BSTP34541,45.2732,-66.06007,Tim Horton's - King St.,True,25
"['25_0_var3', '25_0_var2']",False,BSTP34321_ar,45.2729999,-66.05885,Royal Bank - Charlotte St.,True,25
"['30_0_var0', '30_0_var3']",False,BSTP34391,45.3058299,-66.01729,McAllister Place,True,30
"['30_0_var0', '30_0_var3']",False,BSTP35046,45.3097299,-66.01616,Westmorland Road,True,30
"['30_0_var2', '30_0_var1']",False,BSTP35047,45.30986,-66.0164499,Westmorland Road,True,30
"['30_0_var2', '30_0_var1']",False,BSTP34387,45.30748,-66.0184499,Walmart - Westmorland Rd.,True,30
"['30_0_var2', '30_0_var1']",False,BSTP34391_ar,45.3058299,-66.01729,McAllister Place,True,30
['31_0_var0'],False,BSTP34391_ar,45.3058299,-66.01729,McAllister Place,True,31
['31_0_var1'],False,BSTP34391,45.3058299,-66.01729,McAllister Place,True,31
['32_0_var0'],False,BSTP34391,45.3058299,-66.01729,McAllister Place,True,32
['32_0_var0'],False,BSTP35046,45.3097299,-66.01616,Westmorland Road,True,32
"['32_0_var0', '32_0_var1']",False,BSTP35021,45.30843,-65.97873,McNamara Dr. & Summit Dr.,True,32
"['32_0_var0', '32_0_var1']",False,BSTP35022,45.3122899,-65.9816999,174 McNamara Drive,True,32
"['32_0_var0', '32_0_var1']",False,BSTP35023,45.31428,-65.9842799,16 Bing Avenue,True,32
"['32_0_var0', '32_0_var1']",False,BSTP35024,45.3158499,-65.9857599,30 David Street,True,32
"['32_0_var0', '32_0_var1']",False,BSTP35026,45.3170699,-65.98305,Willie Ave. & Lakeview Dr.,True,32
"['32_0_var0', '32_0_var1']",False,BSTP35027,45.3144099,-65.9810299,255 Lakeview Drive,True,32
"['32_0_var0', '32_0_var1']",False,BSTP35028,45.31158,-65.97872,87 Lakeview Drive,True,32
['32_0_var1'],False,BSTP35047,45.3098599,-66.01645,Westmorland Road,True,32
['32_0_var1'],False,BSTP34387,45.3074799,-66.0184499,Walmart - Westmorland Rd.,True,32
['32_0_var1'],False,BSTP34391_ar,45.3058299,-66.01729,McAllister Place,True,32
['33_0_var0'],False,BSTP35026,45.3170699,-65.98305,Willie Ave. & Lakeview Dr.,True,33
['33_0_var0'],False,BSTP35027,45.3144099,-65.9810299,255 Lakeview Drive,True,33
['33_0_var0'],False,BSTP35028,45.31158,-65.97872,87 Lakeview Drive,True,33
['33_0_var0'],False,BSTP34350,45.2894799,-66.03327,Loch Lomond Villa - Loch Lomond Road,True,33
['33_0_var0'],False,BSTP35223,45.2888699,-66.03587,145 Loch Lomond Road,True,33
['33_0_var0'],False,BSTP34337,45.27652,-66.0512499,Prince Charles School - Union St.,True,33
['33_0_var0'],False,BSTP34334,45.2760399,-66.05399,Giant Tiger - Prince Edward Square,True,33
['33_0_var0'],False,BSTP34332,45.2744299,-66.05747,Sydney St. & King's Square North,True,33
['33_0_var0'],False,BSTP34431_ar,45.2741999,-66.05849,King's Square North,True,33
['33_0_var1'],False,BSTP34431,45.2741999,-66.05849,King's Square North,True,33
['33_0_var1'],False,BSTP34321,45.2729999,-66.0588499,Royal Bank - Charlotte St.,True,33
['33_0_var1'],False,BSTP34331,45.27475,-66.05726,Golden Ball - Sydney Street,True,33
['33_0_var1'],False,BSTP34333,45.27562,-66.0553499,300 Union Street,True,33
['33_0_var1'],False,BSTP34335,45.27608,-66.0526199,Union St & Pitt St.,True,33
['33_0_var1'],False,BSTP34353,45.28822,-66.0383899,94 Loch Lomond Road,True,33
['33_0_var1'],False,BSTP35224,45.28866,-66.0357999,Loch Lomond Rd. & Jean St.,True,33
['33_0_var1'],False,BSTP35021,45.30843,-65.97873,McNamara Dr. & Summit Dr.,True,33
['33_0_var1'],False,BSTP35022,45.31229,-65.9817,174 McNamara Drive,True,33
['33_0_var1'],False,BSTP35023,45.31428,-65.9842799,16 Bing Avenue,True,33
['33_0_var1'],False,BSTP35024,45.3158499,-65.9857599,30 David Street,True,33
['34_0_var1'],False,BSTP34391_ar,45.3058299,-66.01729,McAllister Place,True,34
['51_0_var0'],False,BSTP34696,45.28169,-66.0518,Hotel Courtney Bay,True,51
['51_0_var0'],False,BSTP34698,45.2804,-66.0518299,Crown Street,True,51
['51_0_var0'],False,BSTP34693,45.2787399,-66.0518899,Boys & Girls Club - Crown St.,True,51
['51_0_var0'],False,BSTP34337,45.27652,-66.0512499,Prince Charles School - Union St.,True,51
['51_0_var0'],False,BSTP34334,45.2760399,-66.05399,Giant Tiger - Prince Edward Square,True,51
['51_0_var0'],False,BSTP34332,45.27443,-66.05747,Sydney St. & King's Square North,True,51
['51_0_var0'],False,BSTP34431_ar,45.2741999,-66.05849,King's Square North,True,51
['51_0_var1'],False,BSTP34431,45.2741999,-66.05849,King's Square North,True,51
['51_0_var1'],False,BSTP34321,45.273,-66.0588499,Royal Bank - Charlotte St.,True,51
['51_0_var1'],False,BSTP34331,45.2747499,-66.05726,Golden Ball - Sydney Street,True,51
['51_0_var1'],False,BSTP34333,45.27562,-66.0553499,300 Union Street,True,51
['51_0_var1'],False,BSTP34335,45.27608,-66.0526199,Union St & Pitt St.,True,51
